ID	Problem
959	Sum of digits
960	The surface area of the cone
962	The biggest party of the quadrilateral
963	Permutation of the words
964	The incidence matrix
971	Josephus problem
972	Sorting time
973	Maximum sum on a tree
974	Floyd - 1
976	Floyd - existence
977	Is it a Tree?
978	Get a tree
979	Frame-workout 1
980	Frame-workout 2
982	Connectivity
983	Tree Edges Coloring
984	Number of cycles
985	Scheduled Checking
986	Picking Numbers
987	Nails
988	Subsequence
989	Ladders
990	12345
992	Cities and roads
993	Traffic lights
994	Coloured rain
995	Irony
997	One knight
1000	a + b Problem
1001	A + B in the binary system
1002	Fraction
1003	Nikifor 2
1005	Matches for children are not toys!
1007	The Stern-Brocot Number System
1008	Number systems
1009	2D-Nim
1010	The equality
1011	Nim
1012	Coins
1013	Factorial
1014	Bones for Sharik 2
1015	S-Nim
1016	Octal Fractions
1017	Fractional arithmetic
1018	Expanding Fractions
1019	Dead Fraction
1021	Rational Numbers from Repeating Fractions
1022	Cantor Fractions
1023	Continued Fractions
1024	Hello World!
1025	Brackets
1027	Fractions Again?!
1028	Continuous Fractions
1030	Fractions to Decimals
1031	Ordered Fractions
1034	Fractional tricks
1035	Rectangle and the beam
1036	Path to the parallelepiped
1038	Entire
1039	Big jumps
1040	Minimal Circle
1041	Triangle
1042	Rope
1043	Geometry Paradox
1044	Convex area
1045	The Circumference of the Circle
1046	Diplomatic License
1047	Polygon Programming with Ease
1048	Bridge Across Islands
1049	Right-angled Triangle
1050	Cautious judge
1051	Owl`s Problem
1052	Mystery pattern
1053	Stained-glass window
1054	A Lucky number of Tiger`s
1055	Numerical spiral
1058	Avoid The Lakes
1059	Fire Station
1060	Lines
1061	Three states
1062	Lines (2)
1063	Cell removal
1064	The way a Knight
1065	Garden beds
1066	The nearest number
1067	Rectangular division
1068	Path caver
1069	Holey fabric
1070	Fill the line
1071	Not representable number
1072	Chemical reactions
1073	Instant Complexity
1075	Multiplying polynomials
1076	The system of linear equations
1077	Java vs C++
1078	Power Strings
1079	Removing the letters
1080	Anagrammatic Distance
1081	GATTACA
1082	Mix and Build
1083	Sequence
1084	Sequence (2)
1085	Dual lattice
1086	Fibonacci sequence
1088	Product sum
1090	Folding
1091	Cow Sorting
1092	Left Mouse Button
1093	Exact Symmetry
1094	Bubble Sort
1095	Bone Sort
1096	A Very Simple Problem
1097	Nim
1098	Queen move!
1099	The talking Galcian
1101	Numbering path
1102	Sticks Problem
1103	Tour Counting
1104	Dominos
1105	Hello, Pie!
1106	Dancing Party
1107	ACM Contest and Blackout
1108	Wormholes
1109	106 miles to Chicago
1110	The Eagle
1111	Ackermann Function
1112	Queen, Rook and Knight
1113	Castle
1114	Character designs on fabric
1115	Area Ratio
1116	Product of digits
1117	Queen, rook and bishop
1118	Watermelons
1119	Pyramid of the symbols
1120	Quadrilateral
1122	Rook, knight and bishop
1123	Lucky Number
1124	Alphabetic graffiti
1125	The Angle
1126	Count primes
1127	Big Number
1128	Longge`s problem
1129	Revision of the store
1130	Graded lexicographic order
1131	Abacaba
1137	Determinant
1143	Division by zero 2 or ...
1144	Sort Machine
1145	UnfairDivision
1146	GCD
1147	GCD Extreme
1148	GCD LCM
1149	Sandwiches
1150	K-th Number (Easy)
1151	Treasure Hunter
1154	Circle of choirs
1156	Fermat vs. Pythagoras
1157	The Cat in the Hat
1158	The Luckiest number
1159	Birthday
1160	Warm-up
1172	Acceleration
1173	Hierarchical employee structure 
1174	Weighted points
1175	Monsters
1176	The series of Functions
1177	The Function
1178	Instability of a Tree
1179	Substrings
1180	Game on a Tree
1181	Mint
1182	Simple division
1183	Boxes
1184	Hyper-drive
1185	Sum of numbers in a tree
1186	Arithmetically Challenged
1187	Cover Up
1188	Decompressing in a GIF
1189	Flipper
1190	The Flood
1191	Here`s a Product Which Will Make You Tensor
1192	Trip the Lights Fantastic
1193	Windows
1194	Letter Cookies
1195	Bicycle Puzzle
1196	Geometry Darts
1198	Communication Channels
1199	Train Tickets
1200	Counting Sheep (Easy)
1202	Marble Madness
1203	Robberies
1204	Robot Encryption
1205	Power of Cryptography
1206	f91
1207	sqrt log sin
1208	Perfect P-th Powers
1209	Function with factorials
1210	Very Easy!!!
1211	Infinite Sequence
1213	Massive Numbers
1214	Multifactorial
1215	Rock, Paper, or Scissors?
1216	Missile Command
1217	Palindromic Primes Category in Jeopardy!
1218	Pebbles
1219	Rubik`s Cube
1220	Geek Challenge [SKRZAT] (Base Minus Two)
1221	Frogger
1222	"Bubble Gum, Bubble Gum..."
1223	Games R Us
1224	Cover Up
1225	Black Box
1226	Foreign Exchange
1227	Andys first dictionary
1228	Add All
1229	GCD Extreme II
1230	GCD Super-Extreme
1231	Lucky Controller
1232	Bukazoids
1233	Collisions
1234	Dancers
1235	Embassy
1236	Dictionary of Obscene Words
1237	Greatest Product
1238	Fractal Cake
1239	Hexaroman Numbers
1240	Beam in Tunnel
1241	Key
1242	Game on Chessboard
1243	Least Common Multiple
